,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
22087,4533789.0,5.0,19.0,0.511,0.718,11.0,-6.293,0.0,0.404,0.000322,0.0,0.111,0.267,166.42,362839.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70826,653196.0,1.0,1.0,0.731,0.65,0.0,-5.286,1.0,0.271,0.107,0.0,0.124,0.605,154.968,177847.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85060,175741.0,7.0,10.0,0.518,0.871,8.0,-9.109,1.0,0.362,0.0218,0.0,0.364,0.847,91.653,206506.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12330,8122580.0,4.0,15.0,0.798,0.412,2.0,-9.305,1.0,0.36,0.443,7.43e-05,0.219,0.304,135.959,192973.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53514,27713137.0,1.0,1.0,0.764,0.32,11.0,-7.209,1.0,0.0546,0.837,0.0,0.0822,0.575,91.019,189486.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
83957,115824.0,1.0,1.0,0.639,0.855,7.0,-6.214,1.0,0.365,0.344,3.63e-06,0.1,0.59,139.851,237923.0,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78128,6028580.0,4.0,10.0,0.561,0.782,3.0,-7.444,1.0,0.0317,0.022,0.0,0.109,0.704,127.148,153240.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
87965,3310268.0,5.0,16.0,0.615,0.761,10.0,-6.921,0.0,0.274,0.0865,0.0,0.254,0.444,93.146,184965.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87643,12622150.0,11.0,16.0,0.705,0.89,0.0,-4.356,1.0,0.0555,0.00947,0.0,0.14,0.45,94.013,161156.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51846,52571724.0,9.0,12.0,0.662,0.6,0.0,-6.402,1.0,0.0703,0.173,0.000137,0.109,0.331,134.979,222947.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
